nifty50,nifty100,nifty200,nifty500,niftyall,niftybank,niftyit,niftypsubank,niftyfmcg,niftyprivatebank,niftymetal,niftypharma,niftyfinance
,,,KSCL.NS,CHAMBLFERT.NS,,,,,,,,
,,,KEC.NS,CHEMBOND.NS,,,,,,,,
,,,KENNAMET.NS,CHEMFAB.NS,,,,,,,,
,,,KIRLOSENG.NS,CHENNPETRO.NS,,,,,,,,
,,,KOLTEPATIL.NS,CHOLAFIN.NS,,,,,,,,
,,,KOTAKBANK.NS,CHOLAHLDNG.NS,,,,,,,,
,,,L&TFH.NS,CHROMATIC.NS,,,,,,,,
,,,LTTS.NS,CIGNITITEC.NS,,,,,,,,
,,,LICHSGFIN.NS,CIMMCO.NS,,,,,,,,
,,,LAXMIMACH.NS,CINELINE.NS,,,,,,,,
,,,LAKSHVILAS.NS,CINEVISTA.NS,,,,,,,,
,,,LTI.NS,CIPLA.NS,,,,,,,,
,,,LT.NS,CKFSL.NS,,,,,,,,
,,,LAURUSLABS.NS,CLEDUCATE.NS,,,,,,,,
,,,LEMONTREE.NS,CLNINDIA.NS,,,,,,,,
,,,LINDEINDIA.NS,CMICABLES.NS,,,,,,,,
,,,LUPIN.NS,CNOVAPETRO.NS,,,,,,,,
,,,LUXIND.NS,COALINDIA.NS,,,,,,,,
,,,MASFIN.NS,COCHINSHIP.NS,,,,,,,,
,,,MMTC.NS,COLPAL.NS,,,,,,,,
,,,MOIL.NS,COMPINFO.NS,,,,,,,,
,,,MRF.NS,COMPUSOFT.NS,,,,,,,,
,,,MAGMA.NS,CONCOR.NS,,,,,,,,
,,,MGL.NS,CONFIPET.NS,,,,,,,,
